profile_id,full_name,academic_title,first_name,last_name,position,profile_url,image_url,affiliations
UAMD23568-DD-Mat,dr Tomasz Kowalski,dr,Tomasz,Kowalski,adiunkt,https://researchportal.amu.edu.pl/info/author/UAMD23568-DD-Mat?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BTomasz%2BKowalski%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Zakład Sztucznej Inteligencji; Jednostki Badawczo-Dydaktyczne Wydziału Matematyki i Informatyki
UAMD323070-DD-Prawo,dr Anna Wilińska-Zelek,dr,Anna,Wilińska-Zelek,st. wykładowca dr,https://researchportal.amu.edu.pl/info/author/UAMD323070-DD-Prawo?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BAnna%2BWili%25C5%2584ska-Zelek%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydziałowe Centrum Dydaktyki Matematyki i Informatyki; Centra Wydziałowe Wydziału Matematyki i Informatyki
UAMd5ffe7471fd04b6085a4a566bb74dc1c,Filip Patyk,,Patyk,,,https://researchportal.amu.edu.pl/info/author/UAMd5ffe7471fd04b6085a4a566bb74dc1c?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BFilip%2BPatyk%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Szkoła Doktorska Szkoły Dziedzinowej Nauk Ścisłych; Szkoła doktorska UAM
UAMD6105-DD-Mat,dr Liliana Kortus,dr,Liliana,Kortus,st. wykładowca dr,https://researchportal.amu.edu.pl/info/author/UAMD6105-DD-Mat?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BLiliana%2BKortus%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Wydziałowe Centrum Dydaktyki Matematyki i Informatyki; Centra Wydziałowe Wydziału Matematyki i Informatyki
UAMd941c7e03325437fb68f6d1be248de7d,Maciej Czajka,,Czajka,,,https://researchportal.amu.edu.pl/info/author/UAMd941c7e03325437fb68f6d1be248de7d?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BMaciej%2BCzajka%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/seam/resource/rest/thumbnail/UAMd0cea16e50494a13b5582ecc685fc89d?option=ORIGINAL_RATIO&width=100&height=200,Szkoła Doktorska Szkoły Dziedzinowej Nauk Ścisłych; Szkoła doktorska UAM
UAMdd34290482c1482f8590ffc6da9c1596,Jan Świątek,,Świątek,,doktorant,https://researchportal.amu.edu.pl/info/author/UAMdd34290482c1482f8590ffc6da9c1596?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BJan%2B%25C5%259Awi%25C4%2585tek%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Szkoła Doktorska Szkoły Dziedzinowej Nauk Ścisłych; Szkoła doktorska UAM
UAMe39266c0aac04ee8b2f6d5ef08970b98,Patryk Bartkowiak,,Bartkowiak,,,https://researchportal.amu.edu.pl/info/author/UAMe39266c0aac04ee8b2f6d5ef08970b98?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BPatryk%2BBartkowiak%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Szkoła Doktorska Szkoły Dziedzinowej Nauk Ścisłych; Szkoła doktorska UAM
UAMe563021c6bbf4d25b3bde1b71c557502,dr Sohail Farhangi,dr,Sohail,Farhangi,,https://researchportal.amu.edu.pl/info/author/UAMe563021c6bbf4d25b3bde1b71c557502?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BSohail%2BFarhangi%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Zakład Algebry i Teorii Liczb; Jednostki Badawczo-Dydaktyczne Wydziału Matematyki i Informatyki
UAMf2e5dd07be404948a3d1ad3e84f40c65,Janik Kruse,,Kruse,,doktorant,https://researchportal.amu.edu.pl/info/author/UAMf2e5dd07be404948a3d1ad3e84f40c65?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BJanik%2BKruse%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Szkoła Doktorska Szkoły Dziedzinowej Nauk Ścisłych; Szkoła doktorska UAM
UAMf9611f122cd24c27b72e5090d07349ca,Michał Piotr Junczyk,,Junczyk,,wykładowca,https://researchportal.amu.edu.pl/info/author/UAMf9611f122cd24c27b72e5090d07349ca?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BMicha%25C5%2582%2BPiotr%2BJunczyk%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Zakład Sztucznej Inteligencji; Jednostki Badawczo-Dydaktyczne Wydziału Matematyki i Informatyki
UAMfaade1560ac44296b46e456eeff61c17,dr Vitalii Marchenko,dr,Vitalii,Marchenko,adiunkt,https://researchportal.amu.edu.pl/info/author/UAMfaade1560ac44296b46e456eeff61c17?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BVitalii%2BMarchenko%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/seam/resource/rest/thumbnail/UAMf4e08dc6bcb04821b9e7c8862b711de8?option=ORIGINAL_RATIO&width=100&height=200,Zakład Teorii Operatorów; Jednostki Badawczo-Dydaktyczne Wydziału Matematyki i Informatyki
UAMfb348af67de24c649ef1c020f9d59a54,Arturo Espinosa Baro,,Espinosa Baro,,doktorant,https://researchportal.amu.edu.pl/info/author/UAMfb348af67de24c649ef1c020f9d59a54?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BArturo%2BEspinosa%2BBaro%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Szkoła Doktorska Szkoły Dziedzinowej Nauk Ścisłych; Szkoła doktorska UAM
UAMfe37af2e7e44496b97b9a4e76931b1b6,Grzegorz Adamski,,Adamski,,doktorant,https://researchportal.amu.edu.pl/info/author/UAMfe37af2e7e44496b97b9a4e76931b1b6?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BGrzegorz%2BAdamski%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Szkoła Doktorska Szkoły Dziedzinowej Nauk Ścisłych; Szkoła doktorska UAM
UAM221296,mgr inż. Karol Popiołek,mgr inż.,Karol,Popiołek,informatyk,https://researchportal.amu.edu.pl/info/author/UAM221296?r=author&tab=&title=Profil%2Bosoby%2B%25E2%2580%2593%2BKarol%2BPopio%25C5%2582ek%2B%25E2%2580%2593%2BUniwersytet%2Bim.%2BAdama%2BMickiewicza%2Bw%2BPoznaniu&lang=pl&qp=openAccess%3Dfalse,https://researchportal.amu.edu.pl/javax.faces.resource/img/usericon2.png.seam,Administracja IKE; Instytut Kultury Europejskiej w Gnieźnie
